tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation
0,29.954,61.75,0,0,1.0,1.0,1.0,0.02
1,32.1094,60.4,0,0,1.0,1.0,1.0,0.02
2,34.2459,59.4,0,0,1.0,1.0,1.0,0.02
3,36.2908,58.64,0,0,1.0,1.0,1.0,0.02
4,38.3523,58.09,0,0,1.0,1.0,1.0,0.02
5,40.249,57.67,0,0,1.0,1.0,1.0,0.02
6,41.6355,57.02,0,0,1.0425,1.0425,1.0,0.03328
7,42.8556,56.23,0,0,1.0765,1.102,1.0,0.0453
8,43.9474,55.45,0,0,1.1037,1.1496,1.0,0.0522
9,45.0227,54.69,0,0,1.151,1.1877,1.0,0.05924
10,46.0589,53.96,0,0,1.1888,1.2181,1.0,0.06249
11,47.113,53.07,0,0,1.219,1.2425,1.0,0.06322
12,48.2214,52.43,0,0,1.2432,1.262,1.0,0.06229
13,49.4055,52.0,0,0,1.2626,1.2776,1.0,0.06031
14,50.6771,51.74,0,0,1.2781,1.2901,1.0,0.05771
15,52.0414,51.61,0,0,1.2904,1.3001,1.0,0.05478
16,53.4996,51.43,0,0,1.3004,1.3081,1.0,0.05172
17,55.0502,51.37,0,0,1.3083,1.3144,1.0,0.04868
18,56.6903,51.39,0,0,1.3146,1.3196,1.0,0.04574
19,58.4161,51.48,0,0,1.3197,1.3236,1.0,0.04297
20,60.2232,51.61,0,0,1.3238,1.3269,1.0,0.04039
21,62.1074,51.77,0,0,1.327,1.3295,1.0,0.03802
22,64.0642,51.94,0,0,1.3296,1.3316,1.0,0.03587
23,66.0895,52.07,0,0,1.3317,1.3333,1.0,0.03393
24,68.1791,52.26,0,0,1.3333,1.3346,1.0,0.03219
25,70.3293,52.38,0,0,1.3347,1.3357,1.0,0.03065
26,72.5366,52.51,0,0,1.3357,1.3366,1.0,0.02927
27,74.7977,52.64,0,0,1.3366,1.3373,1.0,0.02806
28,77.1095,52.76,0,0,1.3373,1.3378,1.0,0.027
29,79.4692,52.88,0,0,1.3378,1.3382,1.0,0.02606
30,81.8744,52.98,0,0,1.3383,1.3386,1.0,0.02524
31,84.3227,53.08,0,0,1.3386,1.3389,1.0,0.02453
32,86.8119,53.17,0,0,1.3389,1.3391,1.0,0.02391
33,89.3403,53.25,0,0,1.3391,1.3393,1.0,0.02337
34,91.9061,53.32,0,0,1.3393,1.3394,1.0,0.0229
35,94.5077,53.39,0,0,1.3394,1.3395,1.0,0.0225
